epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1344.36,0.61122,0.68805,0.32866,0.82445,0.76333,0.82371,0.44839,0.29915,0.81246,0.23026,0.0150104,7.49568e-06,7.49568e-06
2,2662.57,0.57785,0.67901,0.31606,0.82216,0.78716,0.83105,0.42516,0.30343,0.92066,0.24643,0.0100178,1.4955e-05,1.4955e-05
3,3969.45,0.555,0.6634,0.30201,0.84478,0.8199,0.85354,0.45634,0.29039,0.99837,0.23901,0.00502513,2.22523e-05,2.22523e-05
4,5266.9,0.54259,0.65488,0.29665,0.85586,0.86379,0.88277,0.46923,0.28646,1.09074,0.22729,3.21492e-05,2.9269e-05,2.9269e-05
5,6559.17,0.53853,0.6395,0.29244,0.85643,0.83967,0.88005,0.48203,0.28202,1.03427,0.22292,2.87162e-05,2.87162e-05,2.87162e-05
6,7851.34,0.52863,0.63599,0.29002,0.86884,0.84938,0.8907,0.50687,0.27112,0.73283,0.21636,2.80105e-05,2.80105e-05,2.80105e-05
7,9145.6,0.52294,0.63314,0.28808,0.88468,0.86036,0.90004,0.50392,0.26824,0.85132,0.21613,2.71639e-05,2.71639e-05,2.71639e-05
8,10434.5,0.51814,0.62598,0.28963,0.87871,0.85497,0.89041,0.50497,0.27396,0.80949,0.22082,2.61857e-05,2.61857e-05,2.61857e-05
9,11727.9,0.5221,0.624,0.28592,0.86399,0.85672,0.88694,0.49687,0.27703,0.74396,0.22914,2.50866e-05,2.50866e-05,2.50866e-05
10,13024.3,0.51088,0.61944,0.28308,0.86709,0.8681,0.90722,0.5253,0.26316,0.66752,0.20845,2.38786e-05,2.38786e-05,2.38786e-05
11,14320.6,0.51067,0.61705,0.28382,0.88433,0.85692,0.90379,0.52165,0.26507,0.66278,0.20864,2.2575e-05,2.2575e-05,2.2575e-05
12,15628.1,0.51181,0.61523,0.27977,0.87326,0.87535,0.90567,0.52029,0.27087,0.60043,0.21396,2.119e-05,2.119e-05,2.119e-05
13,16925.6,0.50819,0.6023,0.27668,0.86163,0.8692,0.89592,0.52651,0.26094,0.61792,0.20575,1.97389e-05,1.97389e-05,1.97389e-05
14,18226.6,0.50295,0.60352,0.27581,0.88913,0.86584,0.91007,0.52487,0.26423,0.64135,0.20411,1.82375e-05,1.82375e-05,1.82375e-05
15,19539.7,0.50155,0.6001,0.27414,0.87369,0.87627,0.91192,0.52585,0.26312,0.63849,0.20833,1.67022e-05,1.67022e-05,1.67022e-05
16,20836.4,0.5024,0.60184,0.27348,0.89051,0.86332,0.90868,0.52394,0.26775,0.59987,0.20424,1.515e-05,1.515e-05,1.515e-05
17,22137.3,0.50011,0.59351,0.26872,0.8965,0.86667,0.91698,0.52978,0.26583,0.63025,0.20743,1.35978e-05,1.35978e-05,1.35978e-05
18,23435.7,0.49837,0.5926,0.26959,0.89041,0.87565,0.91385,0.53117,0.2627,0.60781,0.20675,1.20625e-05,1.20625e-05,1.20625e-05
19,24733.9,0.49556,0.5876,0.27114,0.89056,0.87911,0.91243,0.529,0.26771,0.5865,0.21167,1.05611e-05,1.05611e-05,1.05611e-05
20,26030,0.49016,0.58374,0.26912,0.89027,0.88546,0.91931,0.53618,0.26278,0.57704,0.20876,9.10996e-06,9.10996e-06,9.10996e-06
21,27258.3,0.41204,0.48225,0.30208,0.90072,0.87543,0.91882,0.53005,0.26448,0.55445,0.20931,7.725e-06,7.725e-06,7.725e-06
22,28483.7,0.40827,0.47774,0.29855,0.91264,0.87635,0.91822,0.53237,0.26244,0.543,0.20832,6.42139e-06,6.42139e-06,6.42139e-06
23,29735.9,0.41073,0.47668,0.29756,0.90461,0.87959,0.91989,0.53357,0.26069,0.52553,0.20719,5.21341e-06,5.21341e-06,5.21341e-06
24,30986.4,0.40619,0.47502,0.29525,0.9047,0.88255,0.92196,0.53204,0.26221,0.52485,0.20792,4.1143e-06,4.1143e-06,4.1143e-06
25,32238,0.40233,0.46326,0.29032,0.90536,0.87352,0.91748,0.53197,0.26363,0.5293,0.21065,3.1361e-06,3.1361e-06,3.1361e-06
26,33485.7,0.40177,0.46252,0.2867,0.90897,0.87674,0.91801,0.53449,0.26418,0.51535,0.21138,2.28952e-06,2.28952e-06,2.28952e-06
27,34735.9,0.39722,0.46136,0.2858,0.90637,0.88,0.92167,0.53518,0.2641,0.50829,0.21092,1.58385e-06,1.58385e-06,1.58385e-06
28,35978.4,0.39601,0.46094,0.28631,0.91035,0.87646,0.92022,0.53645,0.26443,0.50324,0.21118,1.02681e-06,1.02681e-06,1.02681e-06
29,37224.4,0.39303,0.46151,0.2865,0.91075,0.87874,0.92178,0.53687,0.26281,0.50264,0.20949,6.24508e-07,6.24508e-07,6.24508e-07
30,38466.3,0.39905,0.45835,0.28449,0.91282,0.87978,0.92288,0.53691,0.26175,0.50679,0.20561,3.8135e-07,3.8135e-07,3.8135e-07
